date,sub_region_1,sub_region_2,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,total_cases,total_deaths,new_cases,new_deaths,political_preference,population,area,pop_dens
2020-02-15,California,"",1,1,19,1,-1,0,,,,,,,,
2020-02-16,California,"",5,0,31,1,-1,-1,,,,,,,,
2020-02-17,California,"",9,1,44,-12,-38,8,,,,,,,,
2020-02-18,California,"",0,0,16,3,0,0,,,,,,,,
2020-02-19,California,"",0,0,13,1,0,0,,,,,,,,
2020-02-20,California,"",2,1,12,1,0,0,,,,,,,,
2020-02-21,California,"",1,0,8,0,1,0,,,,,,,,
2020-02-22,California,"",0,0,-3,-4,1,1,,,,,,,,
2020-02-23,California,"",4,1,16,3,2,0,,,,,,,,
2020-02-24,California,"",2,0,12,1,4,0,,,,,,,,
2020-02-25,California,"",3,1,20,3,3,-1,,,,,,,,
2020-02-26,California,"",5,3,16,3,2,-1,,,,,,,,
2020-02-27,California,"",5,3,14,3,2,-1,,,,,,,,
2020-02-28,California,"",4,4,10,2,3,-1,,,,,,,,
2020-02-29,California,"",4,4,15,1,2,-1,,,,,,,,
2020-03-01,California,"",5,3,-4,-1,1,0,,,,,,,,
2020-03-02,California,"",6,6,8,0,4,-1,,,,,,,,
2020-03-03,California,"",8,9,30,2,3,-1,,,,,,,,
2020-03-04,California,"",4,6,15,-1,2,0,,,,,,,,
2020-03-05,California,"",5,7,11,-1,2,0,,,,,,,,
2020-03-06,California,"",2,5,7,-4,2,0,,,,,,,,
2020-03-07,California,"",0,4,0,-6,2,1,,,,,,,,
2020-03-08,California,"",2,3,11,-4,1,0,,,,,,,,
2020-03-09,California,"",3,6,12,-7,1,1,,,,,,,,
2020-03-10,California,"",-1,4,-10,-13,-3,3,,,,,,,,
2020-03-11,California,"",3,9,12,-10,-3,2,,,,,,,,
2020-03-12,California,"",-3,13,-15,-18,-6,4,,,,,,,,
2020-03-13,California,"",-3,31,-20,-21,-8,5,,,,,,,,
2020-03-14,California,"",-13,23,-37,-24,-6,6,,,,,,,,
2020-03-15,California,"",-16,11,-25,-23,-8,6,,,,,,,,
2020-03-16,California,"",-12,21,-27,-31,-24,11,,,,,,,,
2020-03-17,California,"",-23,11,-12,-34,-33,14,,,,,,,,
2020-03-18,California,"",-29,4,-20,-39,-38,17,,,,,,,,
2020-03-19,California,"",-32,3,-20,-43,-40,18,,,,,,,,
2020-03-20,California,"",-40,-3,-22,-46,-44,21,,,,,,,,
2020-03-21,California,"",-48,-13,-22,-47,-33,16,,,,,,,,
2020-03-22,California,"",-50,-22,-24,-52,-36,14,,,,,,,,
2020-03-23,California,"",-41,-18,-28,-52,-49,21,,,,,,,,
2020-03-24,California,"",-42,-18,-31,-52,-50,22,,,,,,,,
2020-03-25,California,"",-42,-19,-30,-52,-51,22,,,,,,,,
2020-03-26,California,"",-42,-18,-28,-53,-51,23,,,,,,,,
2020-03-27,California,"",-44,-17,-29,-54,-50,24,,,,,,,,
2020-03-28,California,"",-50,-20,-48,-53,-37,18,,,,,,,,
2020-03-29,California,"",-50,-24,-38,-54,-39,15,,,,,,,,
2020-03-30,California,"",-40,-20,-24,-53,-51,21,,,,,,,,
2020-03-31,California,"",-40,-18,-23,-52,-53,22,,,,,,,,
2020-04-01,California,"",-39,-14,-25,-51,-52,22,,,,,,,,
2020-04-02,California,"",-41,-15,-30,-54,-53,23,,,,,,,,
2020-04-03,California,"",-42,-12,-31,-53,-51,23,,,,,,,,
2020-04-04,California,"",-50,-18,-54,-54,-39,18,,,,,,,,
2020-04-05,California,"",-53,-27,-61,-59,-42,16,,,,,,,,
2020-04-06,California,"",-46,-23,-54,-60,-54,24,,,,,,,,
2020-04-07,California,"",-47,-23,-41,-57,-55,24,,,,,,,,
2020-04-08,California,"",-47,-22,-43,-58,-55,24,,,,,,,,
2020-04-09,California,"",-49,-24,-54,-62,-56,26,,,,,,,,
2020-04-10,California,"",-47,-19,-44,-59,-56,26,,,,,,,,
2020-04-11,California,"",-48,-14,-46,-53,-40,18,,,,,,,,
2020-04-12,California,"",-62,-34,-55,-58,-44,16,,,,,,,,
2020-04-13,California,"",-45,-25,-36,-55,-52,22,,,,,,,,
2020-04-14,California,"",-43,-21,-25,-52,-52,22,,,,,,,,
2020-04-15,California,"",-45,-17,-28,-51,-52,22,,,,,,,,
2020-04-16,California,"",-54,-16,-34,-53,-52,23,,,,,,,,
2020-04-17,California,"",-56,-17,-39,-54,-50,24,,,,,,,,
2020-04-18,California,"",-59,-18,-47,-50,-35,17,,,,,,,,
2020-04-19,California,"",-59,-21,-39,-52,-37,14,,,,,,,,
2020-04-20,California,"",-54,-19,-34,-53,-50,21,,,,,,,,
2020-04-21,California,"",-53,-17,-25,-52,-51,21,,,,,,,,
2020-04-22,California,"",-53,-16,-25,-52,-51,22,,,,,,,,
2020-04-23,California,"",-53,-15,-28,-52,-51,22,,,,,,,,
2020-04-24,California,"",-54,-14,-29,-52,-50,23,,,,,,,,
2020-04-25,California,"",-56,-13,-35,-47,-34,15,,,,,,,,
2020-04-26,California,"",-56,-17,-31,-50,-36,13,,,,,,,,
2020-04-27,California,"",-51,-15,-23,-51,-49,20,,,,,,,,
2020-04-28,California,"",-51,-14,-19,-49,-50,13,,,,,,,,
2020-04-29,California,"",-49,-15,-27,-50,-50,21,,,,,,,,
2020-04-30,California,"",-47,-12,-24,-50,-50,21,,,,,,,,
2020-05-01,California,"",-47,-9,-23,-48,-48,21,,,,,,,,
2020-05-02,California,"",-50,-8,-30,-43,-32,14,,,,,,,,
2020-05-03,California,"",-50,-12,-21,-45,-32,12,,,,,,,,
2020-05-04,California,"",-44,-10,-17,-48,-47,19,,,,,,,,
2020-05-05,California,"",-44,-6,-14,-46,-48,19,,,,,,,,
2020-05-06,California,"",-46,-10,-17,-47,-48,20,,,,,,,,
2020-05-07,California,"",-46,-8,-18,-48,-49,20,,,,,,,,
2020-02-15,California,Alameda County,1,0,22,1,0,-1,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-16,California,Alameda County,7,0,24,5,1,-2,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-17,California,Alameda County,13,1,55,-31,-53,11,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-18,California,Alameda County,-2,3,21,3,0,0,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-19,California,Alameda County,-1,0,14,1,0,0,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-20,California,Alameda County,1,1,13,2,0,0,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-21,California,Alameda County,1,1,8,-1,3,0,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-22,California,Alameda County,1,3,18,-2,4,-1,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-23,California,Alameda County,4,4,26,15,3,-1,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-24,California,Alameda County,0,0,9,0,4,0,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-25,California,Alameda County,1,2,26,5,3,-1,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-26,California,Alameda County,2,2,20,3,2,-1,0,0,0,0,Democrat,1660202,738,2249.59620596206
2020-02-27,California,Alameda County,4,4,23,4,2,-1,0,0,0,0,Democrat,1660202,738,2249.59620596206
